# The Comparative Toxicogenomics Database (CTD) - http://ctdbase.org/
#   Copyright 2002-2012 MDI Biological Laboratory. All rights reserved.
#   Copyright 2012-2025 NC State University. All rights reserved.
#  
# 
# Use is subject to the terms set forth at http://ctdbase.org/about/legal.jsp
# These terms include:
# 
#   1. All forms of publication (e.g., web sites, research papers, databases,
#      software applications, etc.) that use or rely on CTD data must cite CTD.
#      Citation guidelines: http://ctdbase.org/about/publications/#citing
# 
#   2. All electronic or online applications must include hyperlinks from 
#      contexts that use CTD data to the applicable CTD data pages.
#      Linking instructions: http://ctdbase.org/help/linking.jsp
# 
#   3. You must notify CTD, and describe your use of our data:
#      http://ctdbase.org/help/contact.go
# 
#   4. For quality control purposes, you must provide CTD with periodic 
#      access to your publication of our data.
# 
# More information: http://ctdbase.org/downloads/
# 
# Report created: Thu May 29 11:28:15 EDT 2025
#
# Fields:
# ChemicalName	ChemicalID	CasRN	DiseaseName	DiseaseID	DirectEvidence	InferenceGeneSymbol	InferenceScore	OmimIDs	PubMedIDs
#
06-Paris-LA-66 protocol	C046983		Precursor Cell Lymphoblastic Leukemia-Lymphoma	MESH:D054198	therapeutic				4519131
10,11-dihydro-5H-dibenzo(a,d)cycloheptene	C515697		Carcinoma, Hepatocellular	MESH:D006528		AR	4.23		18639551
10,11-dihydro-5H-dibenzo(a,d)cycloheptene	C515697		Diabetes, Gestational	MESH:D016640		AR	5.68		20421132
10,11-dihydro-5H-dibenzo(a,d)cycloheptene	C515697		Genital Diseases, Male	MESH:D005832		AR	5.72		25434310
10,11-dihydro-5H-dibenzo(a,d)cycloheptene	C515697		Hypertension	MESH:D006973		AR	4.08		10523385
10,11-dihydro-5H-dibenzo(a,d)cycloheptene	C515697		Hypospadias 1, X-Linked	MESH:C567482		AR	7.58	300633	
10,11-dihydro-5H-dibenzo(a,d)cycloheptene	C515697		Infertility, Female	MESH:D007247		AR	5.21		23710174
10,11-dihydro-5H-dibenzo(a,d)cycloheptene	C515697		Infertility, Male	MESH:D007248		AR	4.98		12220434|18554162|20164437
10,11-dihydro-5H-dibenzo(a,d)cycloheptene	C515697		Insulin Resistance	MESH:D007333		AR	4.61		21444647
10,11-dihydro-5H-dibenzo(a,d)cycloheptene	C515697		Leukemia	MESH:D007938		AR	5.04		19235587
10,11-dihydro-5H-dibenzo(a,d)cycloheptene	C515697		Lung Neoplasms	MESH:D008175		AR	4.36		30008631
10,11-dihydro-5H-dibenzo(a,d)cycloheptene	C515697		Neoplasm Recurrence, Local	MESH:D009364		AR	5.57		11742035
10,11-dihydro-5H-dibenzo(a,d)cycloheptene	C515697		Prostatic Intraepithelial Neoplasia	MESH:D019048		AR	5.97		20601956
10,11-dihydro-5H-dibenzo(a,d)cycloheptene	C515697		Prostatic Neoplasms	MESH:D011471		AR	4.17		11742035|12237244|15389811|15790600|16266977|16877366|16934689|16998812|17003774|17141945|18829485|19011039|20729295|22610119|22666205|23704919|25062956|25735316|25908785|25970160|29610475
10,11-dihydro-5H-dibenzo(a,d)cycloheptene	C515697		Prostatic Neoplasms, Castration-Resistant	MESH:D064129		AR	5.90		18985049|24740322|28500234|28757136
10,11-dihydroxy-N-n-propylnorapomorphine	C425777		Hyperkinesis	MESH:D006948	marker/mechanism				15765258
10,12-octadecadienoic acid	C094849		Acute Kidney Injury	MESH:D058186		PPARG	3.66		20623750|24011919|24433871
10,12-octadecadienoic acid	C094849		Acute Lung Injury	MESH:D055371		CASP3	10.01		32062619
10,12-octadecadienoic acid	C094849		Acute Lung Injury	MESH:D055371		PPARG	10.01		21153920
10,12-octadecadienoic acid	C094849		Adenocarcinoma	MESH:D000230		PPARG	4.08		11034103
10,12-octadecadienoic acid	C094849		Alzheimer Disease	MESH:D000544		CASP3	9.86		18077176
10,12-octadecadienoic acid	C094849		Alzheimer Disease	MESH:D000544		PPARG	9.86		15993441|16407166|30328325
10,12-octadecadienoic acid	C094849		Antiphospholipid Syndrome	MESH:D016736		PPARG	5.82		28182703
10,12-octadecadienoic acid	C094849		Atherosclerosis	MESH:D050197		PPARG	4.17		18269830
10,12-octadecadienoic acid	C094849		Barrett Esophagus	MESH:D001471		PPARG	5.40		15387324
10,12-octadecadienoic acid	C094849		Brain Ischemia	MESH:D002545		CASP3	3.91		11756504|17901229
10,12-octadecadienoic acid	C094849		Calcinosis	MESH:D002114		CASP3	4.35		21335463
10,12-octadecadienoic acid	C094849		Carcinoma, Hepatocellular	MESH:D006528		PPARG	3.62		16374840
10,12-octadecadienoic acid	C094849		Cerebral Hemorrhage	MESH:D002543		CASP3	4.04		17971790
10,12-octadecadienoic acid	C094849		Chronobiology Disorders	MESH:D021081		PPARG	5.58		22899986
10,12-octadecadienoic acid	C094849		Colitis, Ulcerative	MESH:D003093		CASP3	4.07		24055189
10,12-octadecadienoic acid	C094849		Colonic Neoplasms	MESH:D003110		PPARG	4.01		20540935
10,12-octadecadienoic acid	C094849		Colorectal Neoplasms	MESH:D015179		PPARG	3.94		16489531
10,12-octadecadienoic acid	C094849		Copper-Overload Cirrhosis	MESH:C566858		CASP3	5.31		22879914
10,12-octadecadienoic acid	C094849		Crohn Disease	MESH:D003424		PPARG	4.78		21829567
10,12-octadecadienoic acid	C094849		Cryptorchidism	MESH:D003456		CASP3	4.77		26050606
10,12-octadecadienoic acid	C094849		Diabetes Mellitus	MESH:D003920		PPARG	4.38		16168052
10,12-octadecadienoic acid	C094849		Diabetes Mellitus, Experimental	MESH:D003921		CASP3	9.71		20654064
10,12-octadecadienoic acid	C094849		Diabetes Mellitus, Experimental	MESH:D003921		PPARG	9.71		12967931|16123366|21757225
10,12-octadecadienoic acid	C094849		Diabetes Mellitus, Type 2	MESH:D003924		CASP3	9.09		15531508
10,12-octadecadienoic acid	C094849		Diabetes Mellitus, Type 2	MESH:D003924		PPARG	9.09	125853	15592662|16123366|16249460|17317762|21484566|28182703|31626838
10,12-octadecadienoic acid	C094849		Diabetic Angiopathies	MESH:D003925		CASP3	4.69		25381014
10,12-octadecadienoic acid	C094849		Diabetic Nephropathies	MESH:D003928		PPARG	4.43		28182703
10,12-octadecadienoic acid	C094849		Diabetic Neuropathies	MESH:D003929		CASP3	4.46		12502508
10,12-octadecadienoic acid	C094849		Diabetic Retinopathy	MESH:D003930		CASP3	4.66		20654064
10,12-octadecadienoic acid	C094849		Dyslipidemias	MESH:D050171		PPARG	4.41		16168052
10,12-octadecadienoic acid	C094849		Edema	MESH:D004487		CASP3	3.26		19874808
10,12-octadecadienoic acid	C094849		Glomerulonephritis	MESH:D005921		PPARG	4.50		11318962
10,12-octadecadienoic acid	C094849		Heart Failure	MESH:D006333		PPARG	3.80		26670611
10,12-octadecadienoic acid	C094849		Heart Valve Diseases	MESH:D006349		CASP3	4.54		21335463
10,12-octadecadienoic acid	C094849		Hepatitis, Chronic	MESH:D006521		CASP3	4.63		22879914
10,12-octadecadienoic acid	C094849		Hypertension	MESH:D006973		PPARG	3.48		15199296|19666838|27292124
10,12-octadecadienoic acid	C094849		Inflammation	MESH:D007249		PPARG	3.59		19926821|21354099
10,12-octadecadienoic acid	C094849		Insulin Resistance	MESH:D007333		PPARG	4.01		16168052|21354099|21484566
10,12-octadecadienoic acid	C094849		Ischemia	MESH:D007511		PPARG	4.45		12468449|24433871
10,12-octadecadienoic acid	C094849		Leukemia, Promyelocytic, Acute	MESH:D015473		PPARG	4.63		32929351
10,12-octadecadienoic acid	C094849		Leukostasis	MESH:D018921		PPARG	6.00		12468449
10,12-octadecadienoic acid	C094849		Lipidoses	MESH:D008064		PPARG	4.47		21123845
10,12-octadecadienoic acid	C094849		Lipodystrophy, Familial Partial	MESH:D052496		PPARG	5.93	604367	19793595
10,12-octadecadienoic acid	C094849		Liver Neoplasms	MESH:D008113		PPARG	3.85		20143881
10,12-octadecadienoic acid	C094849		Lymphoma, T-Cell	MESH:D016399		PPARG	5.08		17255338
10,12-octadecadienoic acid	C094849		Melanoma	MESH:D008545		PPARG	3.99		14512786|28962521
10,12-octadecadienoic acid	C094849		Metabolic Diseases	MESH:D008659		PPARG	5.14		19589179
10,12-octadecadienoic acid	C094849		Mycoplasma Infections	MESH:D009175		CASP3	5.40		20179380
10,12-octadecadienoic acid	C094849		Myocardial Infarction	MESH:D009203		CASP3	3.44		25450231
10,12-octadecadienoic acid	C094849		Myocardial Reperfusion Injury	MESH:D015428		CASP3	3.93		14998631
10,12-octadecadienoic acid	C094849		Nerve Degeneration	MESH:D009410		CASP3	8.43		14999069
10,12-octadecadienoic acid	C094849		Nerve Degeneration	MESH:D009410		PPARG	8.43		18289512
10,12-octadecadienoic acid	C094849		Nervous System Diseases	MESH:D009422		CASP3	3.61		12196588
10,12-octadecadienoic acid	C094849		Neurotoxicity Syndromes	MESH:D020258		CASP3	3.67		21972528
10,12-octadecadienoic acid	C094849		Non-alcoholic Fatty Liver Disease	MESH:D065626		PPARG	4.26		35654975
10,12-octadecadienoic acid	C094849		Obesity	MESH:D009765		PPARG	3.99	601665	11089532|28242765
10,12-octadecadienoic acid	C094849		Osteoarthritis	MESH:D010003		PPARG	4.42		17568789
10,12-octadecadienoic acid	C094849		Pancreatic Neoplasms	MESH:D010190		PPARG	4.21		11034103|11741176
10,12-octadecadienoic acid	C094849		Pituitary ACTH Hypersecretion	MESH:D047748		PPARG	6.00		16809932
10,12-octadecadienoic acid	C094849		Pneumoconiosis	MESH:D011009		SCD5	6.53		35506645
10,12-octadecadienoic acid	C094849		Polycystic Kidney, Autosomal Dominant	MESH:D016891		PPARG	5.87		20210794
10,12-octadecadienoic acid	C094849		Pre-Eclampsia	MESH:D011225		PPARG	4.82		34995009
10,12-octadecadienoic acid	C094849		Psoriasis	MESH:D011565		PPARG	4.51		10815854
10,12-octadecadienoic acid	C094849		Renal Insufficiency	MESH:D051437		PPARG	3.99		28182703
10,12-octadecadienoic acid	C094849		Reperfusion Injury	MESH:D015427		CASP3	9.72		23875703
10,12-octadecadienoic acid	C094849		Reperfusion Injury	MESH:D015427		PPARG	9.72		12468449|24011919|24433871
10,12-octadecadienoic acid	C094849		Retinal Detachment	MESH:D012163		CASP3	5.11		18497877
10,12-octadecadienoic acid	C094849		Sepsis	MESH:D018805		CASP3	4.02		16003065|32062619
10,12-octadecadienoic acid	C094849		Spinal Cord Injuries	MESH:D013119		CASP3	4.49		14588118
10,12-octadecadienoic acid	C094849		Status Epilepticus	MESH:D013226		CASP3	3.77		16679645|18571097
10,12-octadecadienoic acid	C094849		Stomach Neoplasms	MESH:D013274		PPARG	3.89		15492468|19140230
10,12-octadecadienoic acid	C094849		Subarachnoid Hemorrhage	MESH:D013345		CASP3	11.95		24602480
10,12-octadecadienoic acid	C094849		Subarachnoid Hemorrhage	MESH:D013345		PPARG	11.95		29162556
10,12-octadecadienoic acid	C094849		Thyroid cancer, follicular	MESH:C572845		PPARG	5.55		15785241
10,12-octadecadienoic acid	C094849		Thyroid Neoplasms	MESH:D013964		PPARG	4.50		15785241
10-(2-pyrazolylethoxy)camptothecin	C534422		Acute Lung Injury	MESH:D055371		CASP3	4.06		32062619
10-(2-pyrazolylethoxy)camptothecin	C534422		Adenocarcinoma	MESH:D000230		CASP8	4.32		21472143
10-(2-pyrazolylethoxy)camptothecin	C534422		Alzheimer Disease	MESH:D000544		CASP3	4.02		18077176
10-(2-pyrazolylethoxy)camptothecin	C534422		Autoimmune Lymphoproliferative Syndrome	MESH:D056735		CASP8	6.24	607271	
10-(2-pyrazolylethoxy)camptothecin	C534422		Brain Ischemia	MESH:D002545		CASP3	4.11		11756504|17901229
10-(2-pyrazolylethoxy)camptothecin	C534422		Breast Neoplasms	MESH:D001943		CASP8	3.75	114480	15601643|17293864|17450141|29915430
10-(2-pyrazolylethoxy)camptothecin	C534422		Calcinosis	MESH:D002114		CASP3	4.56		21335463
10-(2-pyrazolylethoxy)camptothecin	C534422		Carcinoma, Hepatocellular	MESH:D006528		CASP8	3.86	114550	
10-(2-pyrazolylethoxy)camptothecin	C534422		Carcinoma, Non-Small-Cell Lung	MESH:D002289		CASP8	4.45		20471133
10-(2-pyrazolylethoxy)camptothecin	C534422		Cerebral Hemorrhage	MESH:D002543		CASP3	11.50		17971790
10-(2-pyrazolylethoxy)camptothecin	C534422		Cerebral Hemorrhage	MESH:D002543		CASP8	11.50		17971790
10-(2-pyrazolylethoxy)camptothecin	C534422		Colitis, Ulcerative	MESH:D003093		CASP3	4.27		24055189
10-(2-pyrazolylethoxy)camptothecin	C534422		Colorectal Neoplasms	MESH:D015179		CASP8	4.17		17450141
10-(2-pyrazolylethoxy)camptothecin	C534422		Copper-Overload Cirrhosis	MESH:C566858		CASP3	5.51		22879914
10-(2-pyrazolylethoxy)camptothecin	C534422		Cryptorchidism	MESH:D003456		CASP3	4.98		26050606
10-(2-pyrazolylethoxy)camptothecin	C534422		Dermatitis, Allergic Contact	MESH:D017449		CASP8	4.37		16033404
10-(2-pyrazolylethoxy)camptothecin	C534422		Dermatitis, Contact	MESH:D003877		CASP8	4.59		25724174
10-(2-pyrazolylethoxy)camptothecin	C534422		Diabetes Mellitus, Experimental	MESH:D003921		CASP3	3.97		20654064
10-(2-pyrazolylethoxy)camptothecin	C534422		Diabetes Mellitus, Type 2	MESH:D003924		CASP3	10.00		15531508
10-(2-pyrazolylethoxy)camptothecin	C534422		Diabetes Mellitus, Type 2	MESH:D003924		CASP8	10.00		15531508
10-(2-pyrazolylethoxy)camptothecin	C534422		Diabetic Angiopathies	MESH:D003925		CASP3	4.90		25381014
10-(2-pyrazolylethoxy)camptothecin	C534422		Diabetic Neuropathies	MESH:D003929		CASP3	4.66		12502508
10-(2-pyrazolylethoxy)camptothecin	C534422		Diabetic Retinopathy	MESH:D003930		CASP3	4.86		20654064
10-(2-pyrazolylethoxy)camptothecin	C534422		Edema	MESH:D004487		CASP3	8.93		19874808
10-(2-pyrazolylethoxy)camptothecin	C534422		Edema	MESH:D004487		CASP8	8.93		19874808
10-(2-pyrazolylethoxy)camptothecin	C534422		Esophageal Neoplasms	MESH:D004938		CASP8	4.71		17450141|21472143
10-(2-pyrazolylethoxy)camptothecin	C534422		Heart Valve Diseases	MESH:D006349		CASP3	4.74		21335463
10-(2-pyrazolylethoxy)camptothecin	C534422		Hepatitis, Chronic	MESH:D006521		CASP3	4.83		22879914
10-(2-pyrazolylethoxy)camptothecin	C534422		Lung Neoplasms	MESH:D008175		CASP8	3.99	211980	17450141
10-(2-pyrazolylethoxy)camptothecin	C534422		Melanoma	MESH:D008545		CASP8	4.23		18563783|21983787
10-(2-pyrazolylethoxy)camptothecin	C534422		Mitochondrial Diseases	MESH:D028361		CASP8	5.05		30673822
10-(2-pyrazolylethoxy)camptothecin	C534422		Mycoplasma Infections	MESH:D009175		CASP3	5.60		20179380
10-(2-pyrazolylethoxy)camptothecin	C534422		Myocardial Infarction	MESH:D009203		CASP3	3.64		25450231
10-(2-pyrazolylethoxy)camptothecin	C534422		Myocardial Reperfusion Injury	MESH:D015428		CASP3	11.15		14998631
10-(2-pyrazolylethoxy)camptothecin	C534422		Myocardial Reperfusion Injury	MESH:D015428		CASP8	11.15		14998631
10-(2-pyrazolylethoxy)camptothecin	C534422		Nerve Degeneration	MESH:D009410		CASP3	3.58		14999069
10-(2-pyrazolylethoxy)camptothecin	C534422		Nervous System Diseases	MESH:D009422		CASP3	3.81		12196588
10-(2-pyrazolylethoxy)camptothecin	C534422		Neurotoxicity Syndromes	MESH:D020258		CASP3	3.88		21972528
10-(2-pyrazolylethoxy)camptothecin	C534422		Papillomavirus Infections	MESH:D030361		CASP8	6.31		23358896
10-(2-pyrazolylethoxy)camptothecin	C534422		Precursor Cell Lymphoblastic Leukemia-Lymphoma	MESH:D054198		CASP8	4.70		22010212
10-(2-pyrazolylethoxy)camptothecin	C534422		Prostate cancer, familial	MESH:C537243		CASP8	5.16		29892016
10-(2-pyrazolylethoxy)camptothecin	C534422		Reperfusion Injury	MESH:D015427		CASP3	10.63		23875703
10-(2-pyrazolylethoxy)camptothecin	C534422		Reperfusion Injury	MESH:D015427		CASP8	10.63		23875703
10-(2-pyrazolylethoxy)camptothecin	C534422		Retinal Detachment	MESH:D012163		CASP3	5.31		18497877
10-(2-pyrazolylethoxy)camptothecin	C534422		Sepsis	MESH:D018805		CASP3	4.22		16003065|32062619
10-(2-pyrazolylethoxy)camptothecin	C534422		Skin Neoplasms	MESH:D012878		CASP8	4.48		18563783
10-(2-pyrazolylethoxy)camptothecin	C534422		Spinal Cord Injuries	MESH:D013119		CASP3	4.69		14588118
10-(2-pyrazolylethoxy)camptothecin	C534422		Squamous Cell Carcinoma of Head and Neck	MESH:D000077195		CASP8	5.04		23358896
10-(2-pyrazolylethoxy)camptothecin	C534422		Status Epilepticus	MESH:D013226		CASP3	10.62		16679645|18571097
10-(2-pyrazolylethoxy)camptothecin	C534422		Status Epilepticus	MESH:D013226		CASP8	10.62		18571097
10-(2-pyrazolylethoxy)camptothecin	C534422		Stomach Neoplasms	MESH:D013274		CASP8	4.13		17450141
10-(2-pyrazolylethoxy)camptothecin	C534422		Subarachnoid Hemorrhage	MESH:D013345		CASP3	4.65		24602480
10-(2-pyrazolylethoxy)camptothecin	C534422		Uterine Cervical Neoplasms	MESH:D002583		CASP8	4.99		17450141
103D5R	C496879		Acute Kidney Injury	MESH:D058186		VEGFA	3.27		20943766|22808199
103D5R	C496879		Acute Lung Injury	MESH:D055371		VEGFA	3.87		39233289
103D5R	C496879		Adenocarcinoma	MESH:D000230		AKT1	7.91		33129824
103D5R	C496879		Adenocarcinoma	MESH:D000230		VEGFA	7.91		26432044
103D5R	C496879		Adenomatous Polyposis Coli	MESH:D011125		AKT1	4.66		17942926
103D5R	C496879		Alzheimer Disease	MESH:D000544		VEGFA	3.83		15732116
103D5R	C496879		Amphetamine-Related Disorders	MESH:D019969		AKT1	3.93		15982448
103D5R	C496879		Anaplasia	MESH:D000708		HIF1A	6.40		19808899
103D5R	C496879		Aortic Valve, Calcification of	MESH:C562942		AKT1	5.43		23308213
103D5R	C496879		Arthritis, Experimental	MESH:D001169		VEGFA	4.06		26221077|9598899
103D5R	C496879		Arthritis, Juvenile	MESH:D001171		MAPK1	3.80		19565504
103D5R	C496879		Arthritis, Rheumatoid	MESH:D001172		VEGFA	3.72		16368150
103D5R	C496879		Asthma	MESH:D001249		VEGFA	3.70		11907124|15201500|19263519
103D5R	C496879		Astrocytoma	MESH:D001254		HIF1A	4.83		15341671
103D5R	C496879		Ataxia	MESH:D001259		SLC2A1	4.15		11603379
103D5R	C496879		Atherosclerosis	MESH:D050197		VEGFA	3.77		15937083
103D5R	C496879		Atrophy	MESH:D001284		MAPK3	3.77		16391472
103D5R	C496879		Autistic Disorder	MESH:D001321		MAPK3	3.36		30559488
103D5R	C496879		Brain Injuries	MESH:D001930		VEGFA	3.66		18065154
103D5R	C496879		Brain Ischemia	MESH:D002545		HIF1A	14.28		19429140
103D5R	C496879		Brain Ischemia	MESH:D002545		MAPK1	14.28		17901229
103D5R	C496879		Brain Ischemia	MESH:D002545		MAPK3	14.28		17901229
103D5R	C496879		Brain Neoplasms	MESH:D001932		VEGFA	4.28		20932960
103D5R	C496879		Breast Neoplasms	MESH:D001943		AKT1	9.82	114480	20228224
103D5R	C496879		Breast Neoplasms	MESH:D001943		HIF1A	9.82		24349381
103D5R	C496879		Breast Neoplasms	MESH:D001943		SLC2A1	9.82		20197467
103D5R	C496879		Bronchitis, Chronic	MESH:D029481		VEGFA	4.61		19263519
103D5R	C496879		Carcinogenesis	MESH:D063646		AKT1	4.35		32045588
103D5R	C496879		Carcinoma	MESH:D002277		HIF1A	3.90		19808899
103D5R	C496879		Carcinoma, Ductal	MESH:D044584		HIF1A	13.23		20526721
103D5R	C496879		Carcinoma, Ductal	MESH:D044584		SLC2A1	13.23		20526721
103D5R	C496879		Carcinoma, Hepatocellular	MESH:D006528		AKT1	6.55		32045588
103D5R	C496879		Carcinoma, Hepatocellular	MESH:D006528		SLC2A1	6.55		8364915
103D5R	C496879		Carcinoma, Intraductal, Noninfiltrating	MESH:D002285		HIF1A	15.14		20526721
103D5R	C496879		Carcinoma, Intraductal, Noninfiltrating	MESH:D002285		SLC2A1	15.14		20526721
103D5R	C496879		Carcinoma, Non-Small-Cell Lung	MESH:D002289		HIF1A	8.45		30381462
103D5R	C496879		Carcinoma, Non-Small-Cell Lung	MESH:D002289		VEGFA	8.45		15956251
103D5R	C496879		Carcinoma, Pancreatic Ductal	MESH:D021441		VEGFA	4.70		17481528
103D5R	C496879		Carcinoma, Renal Cell	MESH:D002292		SLC2A1	4.32		7921415
103D5R	C496879		Carcinoma, Squamous Cell	MESH:D002294		AKT1	19.69		21351258
103D5R	C496879		Carcinoma, Squamous Cell	MESH:D002294		MAPK1	19.69		21401805
103D5R	C496879		Carcinoma, Squamous Cell	MESH:D002294		MAPK3	19.69		21401805
103D5R	C496879		Carcinoma, Squamous Cell	MESH:D002294		VEGFA	19.69		15956251|26432044
103D5R	C496879		Cardiomegaly	MESH:D006332		AKT1	7.86		24448315
103D5R	C496879		Cardiomegaly	MESH:D006332		HIF1A	7.86		15942707
103D5R	C496879		Cardiomyopathies	MESH:D009202		AKT1	12.46		24448315
103D5R	C496879		Cardiomyopathies	MESH:D009202		MAPK1	12.46		10620750
103D5R	C496879		Cardiomyopathies	MESH:D009202		MAPK3	12.46		10620750
103D5R	C496879		Cell Transformation, Neoplastic	MESH:D002471		HIF1A	18.04		29501572
103D5R	C496879		Cell Transformation, Neoplastic	MESH:D002471		MAPK8	18.04		21726611
103D5R	C496879		Cell Transformation, Neoplastic	MESH:D002471		SLC2A1	18.04		11953883
103D5R	C496879		Cell Transformation, Neoplastic	MESH:D002471		VEGFA	18.04		30090327
103D5R	C496879		Cerebral Hemorrhage	MESH:D002543		VEGFA	4.05		17888890
103D5R	C496879		Ceroid Lipofuscinosis, Neuronal, 6	MESH:C566627		MAPK1	12.93		23516525
103D5R	C496879		Ceroid Lipofuscinosis, Neuronal, 6	MESH:C566627		MAPK3	12.93		23516525
103D5R	C496879		Chemical and Drug Induced Liver Injury	MESH:D056486		VEGFA	2.82		25231249
103D5R	C496879		Cholangitis, Sclerosing	MESH:D015209		HIF1A	5.12		22271822
103D5R	C496879		Cholestasis, Extrahepatic	MESH:D001651		MAPK1	18.47		28789951
103D5R	C496879		Cholestasis, Extrahepatic	MESH:D001651		MAPK3	18.47		28789951
103D5R	C496879		Cholestasis, Extrahepatic	MESH:D001651		MAPK8	18.47		28789951
103D5R	C496879		Choreoathetosis-Spasticity, Episodic	MESH:C563401		SLC2A1	6.61	601042	
103D5R	C496879		Choroidal Neovascularization	MESH:D020256		VEGFA	5.86		16680105
103D5R	C496879		Clear-cell metastatic renal cell carcinoma	MESH:C538445		VEGFA	5.75		25239121
103D5R	C496879		Cocaine-Related Disorders	MESH:D019970		MAPK1	7.20		16407894|20692647
103D5R	C496879		Cocaine-Related Disorders	MESH:D019970		MAPK3	7.20		20692647
103D5R	C496879		Colonic Neoplasms	MESH:D003110		SLC2A1	7.87		11953883
103D5R	C496879		Colonic Neoplasms	MESH:D003110		VEGFA	7.87		18987561
103D5R	C496879		Colorectal Neoplasms	MESH:D015179		AKT1	3.39	114500	
103D5R	C496879		Corneal Neovascularization	MESH:D016510		VEGFA	5.75		9301478
103D5R	C496879		Coronary Artery Disease	MESH:D003324		VEGFA	3.95		14668888|15937083
103D5R	C496879		Coronavirus Infections	MESH:D018352		MAPK1	11.77		20484496
103D5R	C496879		Coronavirus Infections	MESH:D018352		MAPK3	11.77		20484496
103D5R	C496879		COWDEN SYNDROME 6	OMIM:615109		AKT1	6.41	615109	
103D5R	C496879		Cryohydrocytosis, Stomatin-Deficient, with Mental Retardation, Seizures, Cataracts, and Massive Hepatosplenomegaly	MESH:C563840		SLC2A1	6.96	608885	
103D5R	C496879		Dermatitis, Atopic	MESH:D003876		MAPK8	4.21		24046278
103D5R	C496879		Dermatitis, Contact	MESH:D003877		VEGFA	3.94		25724174
103D5R	C496879		Developmental Disabilities	MESH:D002658		MAPK3	10.37		30559488
103D5R	C496879		Developmental Disabilities	MESH:D002658		SLC2A1	10.37		10980529|11603379|9462754
103D5R	C496879		Diabetes Complications	MESH:D048909		HIF1A	10.69		26073000
103D5R	C496879		Diabetes Complications	MESH:D048909		VEGFA	10.69		26073000
103D5R	C496879		Diabetes Mellitus, Experimental	MESH:D003921		VEGFA	3.78		22191573
103D5R	C496879		Diabetes Mellitus, Type 2	MESH:D003924		AKT1	7.77		31626838
103D5R	C496879		Diabetes Mellitus, Type 2	MESH:D003924		SLC2A1	7.77		9589670
103D5R	C496879		Diabetic Nephropathies	MESH:D003928		VEGFA	4.02		18630688
103D5R	C496879		Diabetic Retinopathy	MESH:D003930		VEGFA	4.67		11978667|15788408|20577866
103D5R	C496879		Disease Models, Animal	MESH:D004195		AKT1	16.69		25658812|32045588
103D5R	C496879		Disease Models, Animal	MESH:D004195		MAPK1	16.69		27093858
103D5R	C496879		Disease Models, Animal	MESH:D004195		MAPK3	16.69		27093858
103D5R	C496879		Disease Models, Animal	MESH:D004195		MAPK8	16.69		27093858
103D5R	C496879		Disease Progression	MESH:D018450		HIF1A	3.92		30381462
103D5R	C496879		Drug-Related Side Effects and Adverse Reactions	MESH:D064420		VEGFA	3.28		31068094
103D5R	C496879		Endometrial Neoplasms	MESH:D016889		VEGFA	4.15		17380299
103D5R	C496879		Epilepsy	MESH:D004827		AKT1	3.68		20064661
103D5R	C496879		Epilepsy, Temporal Lobe	MESH:D004833		VEGFA	4.63		17533168
103D5R	C496879		Erectile Dysfunction	MESH:D007172		VEGFA	4.04		12002441
103D5R	C496879		Esophageal Squamous Cell Carcinoma	MESH:D000077277		HIF1A	4.39		17201171
103D5R	C496879		Fatty Liver	MESH:D005234		AKT1	3.34		32045588
103D5R	C496879		Fibrosis	MESH:D005355		AKT1	3.48		24448315
103D5R	C496879		Glioblastoma	MESH:D005909		HIF1A	9.13		12811834
103D5R	C496879		Glioblastoma	MESH:D005909		VEGFA	9.13		16356833
103D5R	C496879		Gliosarcoma	MESH:D018316		VEGFA	5.46		16533777
103D5R	C496879		Gliosis	MESH:D005911		MAPK1	9.46		19402951
103D5R	C496879		Gliosis	MESH:D005911		MAPK3	9.46		19402951
103D5R	C496879		Glut1 Deficiency Syndrome	MESH:C536830		SLC2A1	6.96	606777	10980529|11603379|17489814|9462754
103D5R	C496879		GLUT1 DEFICIENCY SYNDROME 2	OMIM:612126		SLC2A1	6.96	612126	
103D5R	C496879		Head and Neck Neoplasms	MESH:D006258		MAPK1	17.37		15342401
103D5R	C496879		Head and Neck Neoplasms	MESH:D006258		MAPK3	17.37		15342401
103D5R	C496879		Head and Neck Neoplasms	MESH:D006258		VEGFA	17.37		16499871
103D5R	C496879		Heart Defects, Congenital	MESH:D006330		HIF1A	9.23		26073000
103D5R	C496879		Heart Defects, Congenital	MESH:D006330		VEGFA	9.23		26073000
103D5R	C496879		Heart Diseases	MESH:D006331		VEGFA	3.53		16844662
103D5R	C496879		Heart Failure	MESH:D006333		HIF1A	7.11		15732037
103D5R	C496879		Heart Failure	MESH:D006333		VEGFA	7.11		15732037|15880336
103D5R	C496879		Hemangioblastoma	MESH:D018325		HIF1A	5.95		15341671
103D5R	C496879		Hemangiosarcoma	MESH:D006394		VEGFA	4.58		17569031
103D5R	C496879		Hemorrhage	MESH:D006470		VEGFA	3.59		31068094
103D5R	C496879		Hepatomegaly	MESH:D006529		AKT1	3.24		32045588
103D5R	C496879		Hodgkin Disease	MESH:D006689		MAPK1	4.04		7545087
103D5R	C496879		Hyperalgesia	MESH:D006930		MAPK1	11.21		12941468|27093858
103D5R	C496879		Hyperalgesia	MESH:D006930		MAPK3	11.21		12941468|27093858
